"","datetime","city","country","shape"
"9709",2009-11-12,"sioux city","us","flash"
"8341",2008-01-10,"laurel","us","light"
"9282",2006-11-01,"arcata","us","light"
"22106",2012-12-22,"ovilla","us","light"
"23305",2005-12-28,"gaithersburg","us","light"
"29226",2013-02-13,"fort lawn","us","light"
"30045",2005-02-17,"mukwonago","us","light"
"30214",2006-02-18,"monroeton","us","light"
"49393",2013-05-26,"tyrone","us","light"
"49717",2011-05-28,"cockeysville","us","light"
"87040",2003-09-30,"poplar grove","us","light"
"11830",2007-11-19,"modesto","us","other"
"19841",2005-12-13,"poughkeepsie","us","other"
"27563",2001-01-06,"vancouver","us","other"
"74765",2005-08-18,"armadale (australia)","au","other"
"21475",2012-12-20,"yelm","us","oval"
"40407",2014-04-12,"quincy","us","oval"
"40436",1999-04-13,"youngstown","us","oval"
"18386",2012-11-09,"winter springs","us","sphere"
"31416",2013-02-23,"la mirada","us","sphere"
"34576",2005-03-13,"crewe (uk/england)","gb","sphere"
"50107",1998-05-31,"gent (belgium)",NA,"sphere"
"58167",2011-06-28,"littleton","us","sphere"
"12773",1998-11-20,"aurora","us","triangle"
"43609",2000-04-27,"plano","us","triangle"
"67768",2000-07-31,"flinn springs","us","triangle"
"85623",2003-09-24,"fort lauderdale","us","triangle"
"51759",2011-06-10,"new rochelle","us","unknown"
"56475",2004-06-02,"scottsdale","us","unknown"
"626",1987-10-01,"west palm beach","us",NA
"27733",1995-01-07,"makapiu point",NA,NA
"63745",2003-07-16,"barnoldswick (uk/england)","gb",NA
"85321",1995-09-23,"lake oswego","us",NA
"11341",2010-11-17,"san bernardino","us","light"
"39183",2001-03-08,"lucedale","us","light"
"25557",2011-12-06,"flat lick","us","oval"
"24106",2012-12-31,"doral","us","fireball"
"14778",2013-11-27,"lincoln","us","unknown"
"40476",2004-04-13,"meshkin shahr (and several cities) (iran)",NA,NA
"82904",2006-09-15,"detroit","us","sphere"
"29074",2013-02-12,"fairfax","us","light"
"76976",2000-08-25,"lewiston","us","circle"
"73970",2007-08-15,"alvin","us","fireball"
"29530",1992-02-15,"west alexandria","us","triangle"
"10811",1999-11-16,"newmarket (canada)","ca","fireball"
"77445",1998-08-27,"villa nueva state park",NA,"cigar"
"2680",2011-10-16,"palmer lake","us","chevron"
"88289",2009-09-07,"chicopee","us","sphere"
"25882",2011-01-27,"corvallis","us","fireball"
"40155",2010-04-01,"somers","us","other"
"29920",2008-02-16,"toronto (canada)","ca","other"
"54174",1975-06-15,"trujillo alto (puerto rico)","us","oval"
"63044",1985-07-15,"birch bay","us","disk"
"88641",1996-09-09,"savannah","us","disk"
"12510",2012-01-01,"tampa","us","fireball"
"2879",2009-10-17,"lubbock","us","light"
"35681",2001-03-18,"goetzville","us","light"
"88693",2003-09-09,"tampa","us","triangle"
"129",2003-10-10,"new buffulo",NA,"light"
"12095",1999-01-01,"auckland (new zealand)",NA,"disk"
"32311",1976-02-03,"whiteland","us","unknown"
"20300",2003-12-15,"alger","us","other"
"55271",2005-06-17,"trinadad",NA,"changing"
"18457",2014-01-19,"prescott valley","us","circle"
"21207",2007-01-02,"adair","us","circle"
"58918",2001-06-30,"dunedin (new zealand)",NA,"circle"
"45743",2005-05-10,"new orleans","us","cylinder"
"23757",2013-12-30,"los angeles/silver lake",NA,"fireball"
"24352",2005-12-03,"ithaca","us","light"
"68151",2009-07-03,"sacramento","us","light"
"82941",2007-09-15,"bethel","us","light"
"88190",1999-09-07,"lake oswego","us","light"
"12301",2008-01-01,"bartlett","us","oval"
"51452",2008-05-09,"san diego","us","oval"
"15626",2007-11-03,"benson","us","triangle"
"15441",1995-11-03,"colton","us",NA
"42620",2013-04-02,"conway","us",NA
